SubNo,BlkNo,Trty,Resp,Cor,RT,Congru
3,7,2,Z,1,379.758,2
3,7,1,Z,1,706.766,1
3,7,4,/,1,345.866,2
3,7,2,Z,1,453.584,2
3,7,3,/,1,466.456,1
3,7,1,Z,1,459.557,1
3,7,1,Z,1,419.273,1
3,7,4,/,1,424.505,2
3,7,3,/,1,585.289,1
3,7,1,Z,1,333.954,1
3,7,3,/,1,314.924,1
3,7,1,Z,1,292.311,1
3,7,2,Z,1,614.699,2
3,7,3,/,1,538.381,1
3,7,3,/,1,473.187,1
3,7,3,/,1,303.662,1
3,7,1,Z,1,310.96,1
3,7,4,/,1,400.361,2
3,7,4,/,1,395.925,2
3,7,2,Z,1,305.283,2
3,7,4,/,1,337.439,2
3,8,2,Z,1,327.143,2
3,8,4,/,1,356.466,2
3,8,1,Z,1,350.899,1
3,8,2,Z,1,355.1,2
3,8,1,Z,1,466.696,1
3,8,1,Z,1,447.562,1
3,8,4,/,1,409.272,2
3,8,1,Z,1,296.158,1
3,8,2,Z,1,372.103,2
3,8,1,Z,1,292.115,1
3,8,4,/,1,284.489,2
3,8,4,/,1,235.058,2
3,8,3,/,1,339.698,1
3,8,4,/,1,457.445,2
3,8,4,/,1,401.989,2
3,8,2,Z,1,291.801,2
3,8,3,/,1,367.815,1
3,8,3,/,1,505.396,1
3,8,2,Z,1,402.065,2
3,8,2,Z,1,431.176,2
3,8,1,Z,1,547.155,1
3,8,4,/,1,321.143,2
3,8,2,Z,1,410.623,2
3,8,3,/,1,650.117,1
3,8,4,/,1,415.824,2
3,8,1,Z,1,512.89,1
3,8,4,/,1,624.412,2
3,8,1,Z,1,371.043,1
3,8,3,/,1,628.207,1
3,8,1,Z,1,566.085,1
3,8,3,/,1,497.168,1
3,8,2,Z,1,552.607,2
3,8,4,/,1,400.798,2
3,8,3,/,1,786.615,1
3,9,3,/,1,330.438,1
3,9,1,Z,1,350.68,1
3,9,3,/,1,629.632,1
3,9,2,Z,1,525.24,2
3,9,2,Z,1,354.778,2
3,9,4,/,1,402.173,2
3,9,2,Z,1,841.039,2
3,9,3,/,1,294.692,1
3,9,3,/,1,399.496,1
3,9,3,/,1,389.471,1
3,9,4,/,1,382.085,2
3,9,4,/,1,291.921,2
3,9,1,Z,1,386.82,1
3,9,4,/,1,333.985,2
3,9,1,Z,1,519.518,1
3,9,4,/,1,351.984,2
3,9,3,/,1,812.464,1
3,9,4,/,1,933.363,2
3,9,1,Z,1,422.712,1
3,9,1,Z,1,710.519,1
3,9,2,Z,1,557.013,2
3,9,1,Z,1,674.69,1
3,9,4,/,1,389.732,2
3,9,3,/,1,765.611,1
3,9,4,/,1,326.468,2
3,9,4,/,1,624.548,2
3,9,4,/,1,367.17,2
3,9,3,/,1,470.574,1
3,9,1,Z,1,286.7,1
3,9,1,Z,1,464.712,1
3,9,1,Z,1,461.413,1
3,9,2,Z,1,399.179,2
3,9,3,/,1,275.636,1
3,9,1,Z,1,247.416,1
3,9,2,Z,1,358.624,2
3,9,2,Z,1,380.621,2
3,9,2,Z,1,373.224,2
3,9,2,Z,1,301.171,2
3,9,3,/,1,235.549,1
3,10,4,/,1,471.654,2
3,10,2,Z,1,444.538,2
3,10,1,Z,1,836.394,1
3,10,1,Z,1,767.94,1
3,10,3,/,1,443.04,1
3,10,1,Z,1,555.091,1
3,10,1,Z,1,615.304,1
3,10,3,/,1,452.399,1
3,10,4,/,1,288.258,2
3,10,4,/,1,295.897,2
3,10,2,Z,1,341.055,2
3,10,2,Z,1,424.493,2
3,10,1,Z,1,461.012,1
3,10,3,/,1,247.434,1
3,10,3,/,1,276.98,1
3,10,3,/,1,470.779,1
3,10,2,Z,1,367.667,2
3,10,3,/,1,294.574,1
3,10,3,/,1,301.494,1
3,10,1,Z,1,328.646,1
3,10,3,/,1,276.499,1
3,10,1,Z,1,435.639,1
3,10,1,Z,1,413.71,1
3,10,4,/,1,460.182,2
3,10,3,/,1,331.035,1
3,10,4,/,1,387.65,2
3,10,4,/,1,363.23,2
3,10,4,/,1,308.034,2
3,10,2,Z,1,323.12,2
3,10,2,Z,1,442.154,2
3,10,2,Z,1,651.233,2
3,10,2,Z,1,387.085,2
3,10,3,/,1,373.857,1
3,10,4,/,1,429.854,2
3,10,4,/,1,363.889,2
3,10,2,Z,1,457.907,2
3,10,2,Z,1,394.653,2
3,10,1,Z,1,566.487,1
3,11,2,Z,1,378.59,2
3,11,2,Z,1,432.46,2
3,11,1,Z,1,537.434,1
3,11,2,Z,1,403.171,2
3,11,4,/,1,335.162,2
3,11,4,/,1,295.31,2
3,11,1,Z,1,512.315,1
3,11,1,Z,1,429.117,1
3,11,3,/,1,367.708,1
3,11,4,/,1,377.718,2
3,11,3,/,1,326.331,1
3,11,1,Z,1,383.948,1
3,11,4,/,1,366.477,2
3,11,3,/,1,365.319,1
3,11,1,Z,1,342.381,1
3,11,2,Z,1,615.408,2
3,11,1,Z,1,545.169,1
3,11,3,/,1,251.574,1
3,11,2,Z,1,408.441,2
3,11,3,/,1,344.406,1
3,11,2,Z,1,382.021,2
3,11,2,Z,1,804.162,2
3,11,4,/,1,415.443,2
3,11,1,Z,1,544.232,1
3,11,2,Z,1,424.964,2
3,11,1,Z,1,592.987,1
3,11,4,/,1,373.327,2
3,11,2,Z,1,394.266,2
3,11,1,Z,1,673.122,1
3,11,2,Z,1,397.064,2
3,11,4,/,1,407.523,2
3,11,3,/,1,286.203,1
3,11,3,/,1,319.528,1
3,11,3,/,1,310.808,1
3,12,1,Z,1,492.976,1
3,12,3,/,1,242.038,1
3,12,2,Z,1,412.921,2
3,12,4,/,1,799.627,2
3,12,4,/,1,797.752,2
3,12,1,Z,1,290.601,1
3,12,2,Z,1,526.456,2
3,12,2,Z,1,429.93,2
3,12,2,Z,1,917.236,2
3,12,4,/,1,481.661,2
3,12,3,/,1,829.278,1
3,12,2,Z,1,431.019,2
3,12,4,/,1,991.729,2
3,12,3,/,1,677.601,1
3,12,1,Z,1,508.056,1
3,12,1,Z,1,582.384,1
3,12,1,Z,1,646.807,1
3,12,3,/,1,277.489,1
3,12,2,Z,1,403.96,2
3,12,1,Z,1,495.477,1
3,12,1,Z,1,473.335,1
3,12,2,Z,1,376.169,2
3,12,4,/,1,360.862,2
3,12,4,/,1,316.18,2
3,12,3,/,1,375.734,1
3,12,4,/,1,454.333,2
3,12,3,/,1,367.937,1
3,12,3,/,1,326.795,1
3,12,4,/,1,772.91,2
3,12,2,Z,1,463.245,2
3,12,2,Z,1,426.458,2
3,12,4,/,1,664.899,2
3,12,3,/,1,749.568,1
3,12,3,/,1,359.305,1
3,12,4,/,1,389.229,2
3,12,2,Z,1,334.569,2
4,2,4,/,1,462.313,2
4,2,1,Z,1,421.2,1
4,2,2,Z,1,499.253,2
4,2,3,/,1,526.987,1
4,2,3,/,1,540.665,1
4,2,3,/,1,411.005,1
4,2,4,/,1,474.603,2
4,2,1,Z,1,422.146,1
4,2,1,Z,1,356.432,1
4,2,2,Z,1,544.363,2
4,2,3,/,1,453.704,1
4,2,4,/,1,489.937,2
4,2,4,/,1,433.973,2
4,2,2,Z,1,420.075,2
4,2,2,Z,1,398.92,2
4,2,2,Z,1,417.394,2
4,2,3,/,1,375.858,1
4,2,1,Z,1,338.234,1
4,2,2,Z,1,402.118,2
4,2,1,Z,1,348.139,1
4,2,2,Z,1,387.75,2
4,2,4,/,1,500.669,2
4,2,4,/,1,464.92,2
4,2,3,/,1,272.636,1
4,2,3,/,1,309.889,1
4,2,4,/,1,447.311,2
4,2,3,/,1,426.666,1
4,2,1,Z,1,387.29,1
4,2,1,Z,1,339.243,1
4,2,1,Z,1,437.619,1
4,2,3,/,1,378.532,1
4,2,2,Z,1,532.882,2
4,2,1,Z,1,404.032,1
4,2,2,Z,1,645.6,2
4,2,1,Z,1,335.657,1
4,2,4,/,1,426.807,2
4,2,3,/,1,312.259,1
4,2,4,/,1,467.71,2
4,2,2,Z,1,585.344,2
4,2,4,/,1,407.146,2
4,3,3,/,1,460.095,1
4,3,4,/,1,402.464,2
4,3,3,/,1,291.799,1
4,3,1,Z,1,481.185,1
4,3,4,/,1,326.257,2
4,3,1,Z,1,440.119,1
4,3,1,Z,1,651.655,1
4,3,2,Z,1,487.774,2
4,3,1,Z,1,444.018,1
4,3,2,Z,1,373.152,2
4,3,2,Z,1,370.944,2
4,3,2,Z,1,348.287,2
4,3,4,/,1,460.597,2
4,3,2,Z,1,355.605,2
4,3,3,/,1,381.251,1
4,3,1,Z,1,298.524,1
4,3,4,/,1,392.316,2
4,3,4,/,1,467.988,2
4,3,2,Z,1,371.572,2
4,3,2,Z,1,366.224,2
4,3,3,/,1,496.332,1
4,3,4,/,1,400.976,2
4,3,4,/,1,363.9,2
4,3,4,/,1,355.245,2
4,3,3,/,1,423.513,1
4,3,1,Z,1,487.505,1
4,3,1,Z,1,358.448,1
4,3,3,/,1,369.348,1
4,3,3,/,1,488.101,1
4,3,4,/,1,418.137,2
4,3,3,/,1,322.219,1
4,3,3,/,1,305.259,1
4,3,1,Z,1,336.429,1
4,3,1,Z,1,357.322,1
4,3,3,/,1,442.159,1
4,3,2,Z,1,412.426,2
4,3,1,Z,1,416.463,1
4,3,2,Z,1,521.043,2
4,3,4,/,1,355.391,2
4,3,2,Z,1,357.943,2
4,4,4,/,1,401.634,2
4,4,1,Z,1,358.445,1
4,4,3,/,1,386.076,1
4,4,4,/,1,478.592,2
4,4,4,/,1,341.342,2
4,4,2,Z,1,376.528,2
4,4,4,/,1,310.805,2
4,4,3,/,1,340.415,1
4,4,3,/,1,313.039,1
4,4,3,/,1,416.9,1
4,4,1,Z,1,346.743,1
4,4,1,Z,1,356.698,1
4,4,1,Z,1,316.528,1
4,4,1,Z,1,329.395,1
4,4,2,Z,1,364.628,2
4,4,1,Z,1,424.903,1
4,4,2,Z,1,522.27,2
4,4,3,/,1,484.987,1
4,4,1,Z,1,397.496,1
4,4,4,/,1,360.492,2
4,4,1,Z,1,342.052,1
4,4,2,Z,1,442.738,2
4,4,4,/,1,390.226,2
4,4,2,Z,1,394.981,2
4,4,4,/,1,432.2,2
4,4,4,/,1,404.943,2
4,4,2,Z,1,407.979,2
4,4,1,Z,1,522.182,1
4,4,3,/,1,333.525,1
4,4,4,/,1,506.899,2
4,4,1,Z,1,659.922,1
4,4,4,/,1,459.028,2
4,4,3,/,1,393.097,1
4,4,3,/,1,395.64,1
4,4,2,Z,1,655.272,2
4,4,2,Z,1,535.734,2
4,5,4,/,1,400.999,2
4,5,4,/,1,342.268,2
4,5,1,Z,1,530.216,1
4,5,4,/,1,400.825,2
4,5,1,Z,1,525.208,1
4,5,1,Z,1,429.991,1
4,5,1,Z,1,416.987,1
4,5,2,Z,1,484.457,2
4,5,3,/,1,525.916,1
4,5,1,Z,1,455.697,1
4,5,3,/,1,431.272,1
4,5,2,Z,1,570.107,2
4,5,3,/,1,420.235,1
4,5,3,/,1,468.188,1
4,5,4,/,1,537.87,2
4,5,3,/,1,388.124,1
4,5,4,/,1,498.252,2
4,5,1,Z,1,445.917,1
4,5,3,/,1,516.099,1
4,5,4,/,1,466.749,2
4,5,1,Z,1,397.151,1
4,5,2,Z,1,426.485,2
4,5,4,/,1,351.932,2
4,5,4,/,1,450.271,2
4,5,2,Z,1,420.848,2
4,5,4,/,1,389.71,2
4,5,2,Z,1,450.418,2
4,5,1,Z,1,403.669,1
4,5,2,Z,1,419.913,2
4,5,2,Z,1,357.047,2
4,5,2,Z,1,519.582,2
4,5,4,/,1,396.728,2
4,5,2,Z,1,460.697,2
4,5,3,/,1,646.682,1
4,5,3,/,1,511.722,1
4,5,1,Z,1,322.288,1
4,5,3,/,1,552.398,1
4,5,1,Z,1,341.871,1
4,5,3,/,1,361.777,1
4,5,2,Z,1,559.091,2
4,6,2,Z,1,480.613,2
4,6,4,/,1,486.47,2
4,6,1,Z,1,387.551,1
4,6,2,Z,1,376.741,2
4,6,3,/,1,441.928,1
4,6,2,Z,1,359.208,2
4,6,4,/,1,336.58,2
4,6,3,/,1,392.617,1
4,6,1,Z,1,494.857,1
4,6,3,/,1,415.6,1
4,6,4,/,1,448.091,2
4,6,4,/,1,461.377,2
4,6,4,/,1,538.534,2
4,6,2,Z,1,513.185,2
4,6,2,Z,1,770.393,2
4,6,1,Z,1,487.258,1
4,6,1,Z,1,738.659,1
4,6,2,Z,1,531.15,2
4,6,3,/,1,494.327,1
4,6,3,/,1,509.544,1
4,6,3,/,1,498.416,1
4,6,4,/,1,399.161,2
4,6,1,Z,1,455.578,1
4,6,1,Z,1,369.712,1
4,6,3,/,1,318.87,1
4,6,2,Z,1,488.778,2
4,6,2,Z,1,428.82,2
4,6,1,Z,1,602.848,1
4,6,4,/,1,386.373,2
4,6,4,/,1,453.482,2
4,6,1,Z,1,350.878,1
4,6,4,/,1,404.184,2
4,6,2,Z,1,488.579,2
4,6,3,/,1,382.291,1
4,6,1,Z,1,402.605,1
4,6,3,/,1,322.261,1
4,6,1,Z,1,430.846,1
4,6,2,Z,1,570.387,2
4,6,4,/,1,365.265,2
4,7,1,Z,1,485.348,1
4,7,2,Z,1,607.129,2
4,7,3,/,1,469.019,1
4,7,1,Z,1,703.734,1
4,7,3,/,1,369.358,1
4,7,2,Z,1,441.795,2
4,7,4,/,1,371.305,2
4,7,1,Z,1,468.988,1
4,7,3,/,1,408.89,1
4,7,1,Z,1,309.854,1
4,7,2,Z,1,584.565,2
4,7,2,Z,1,484.589,2
4,7,3,/,1,439.389,1
4,7,1,Z,1,371.39,1
4,7,2,Z,1,482.244,2
4,7,3,/,1,380.642,1
4,7,3,/,1,478.794,1
4,7,4,/,1,410.789,2
4,7,3,/,1,440.045,1
4,7,1,Z,1,409.187,1
4,7,4,/,1,462.3,2
4,7,3,/,1,494.699,1
4,7,3,/,1,407.863,1
4,7,4,/,1,430.98,2
4,7,4,/,1,415.14,2
4,7,1,Z,1,599.182,1
4,7,2,Z,1,436.423,2
4,7,4,/,1,358.003,2
4,7,2,Z,1,451.175,2
4,7,1,Z,1,386.73,1
4,7,1,Z,1,341.166,1
4,7,2,Z,1,373.974,2
4,7,2,Z,1,365.473,2
4,7,3,/,1,393.763,1
4,7,4,/,1,467.337,2
4,7,4,/,1,326.871,2
4,7,1,Z,1,353.592,1
4,7,2,Z,1,415.355,2
4,7,4,/,1,370.581,2
4,7,4,/,1,450.926,2
4,8,3,/,1,410.217,1
4,8,1,Z,1,303.527,1
4,8,4,/,1,344.895,2
4,8,4,/,1,640.889,2
4,8,2,Z,1,330.903,2
4,8,3,/,1,327.076,1
4,8,4,/,1,303.078,2
4,8,4,/,1,300.459,2
4,8,3,/,1,423.203,1
4,8,4,/,1,435.65,2
4,8,3,/,1,575.897,1
4,8,1,Z,1,350.511,1
4,8,1,Z,1,374.158,1
4,8,1,Z,1,420.465,1
4,8,2,Z,1,425.748,2
4,8,2,Z,1,352.098,2
4,8,1,Z,1,387.231,1
4,8,1,Z,1,384.542,1
4,8,2,Z,1,423.952,2
4,8,2,Z,1,352.054,2
4,8,4,/,1,421.938,2
4,8,3,/,1,509.795,1
4,8,1,Z,1,349.502,1
4,8,2,Z,1,404.931,2
4,8,3,/,1,427.082,1
4,8,2,Z,1,472.983,2
4,8,1,Z,1,399.148,1
4,8,2,Z,1,444.934,2
4,8,4,/,1,382.8,2
4,8,4,/,1,419.643,2
4,8,3,/,1,487.154,1
4,8,1,Z,1,423.531,1
4,8,3,/,1,372.581,1
4,8,4,/,1,304.185,2
4,8,1,Z,1,433.842,1
4,8,4,/,1,383.611,2
4,8,3,/,1,307.131,1
4,8,2,Z,1,504.248,2
4,8,3,/,1,392.503,1
4,9,3,/,1,256.459,1
4,9,1,Z,1,371.679,1
4,9,4,/,1,356.112,2
4,9,1,Z,1,358.893,1
4,9,3,/,1,387.03,1
4,9,2,Z,1,471.687,2
4,9,2,Z,1,475.224,2
4,9,2,Z,1,369.557,2
4,9,3,/,1,385.634,1
4,9,1,Z,1,354.424,1
4,9,4,/,1,284.602,2
4,9,2,Z,1,397.883,2
4,9,4,/,1,307.889,2
4,9,2,Z,1,413.873,2
4,9,2,Z,1,456.8,2
4,9,4,/,1,349.459,2
4,9,4,/,1,344.744,2
4,9,1,Z,1,413.541,1
4,9,4,/,1,428.657,2
4,9,3,/,1,751.323,1
4,9,1,Z,1,657.125,1
4,9,3,/,1,477.789,1
4,9,3,/,1,520.307,1
4,9,4,/,1,381.445,2
4,9,4,/,1,347.883,2
4,9,1,Z,1,375.506,1
4,9,3,/,1,288.015,1
4,9,3,/,1,217.601,1
4,9,2,Z,1,599.446,2
4,9,2,Z,1,467.929,2
4,9,1,Z,1,556.293,1
4,9,2,Z,1,449.429,2
4,9,3,/,1,581.157,1
4,9,1,Z,1,386.001,1
4,9,2,Z,1,413.017,2
4,9,4,/,1,364.645,2
4,9,3,/,1,448.184,1
4,9,1,Z,1,428.42,1
4,9,1,Z,1,366.998,1
4,10,2,Z,1,418.824,2
4,10,2,Z,1,530.184,2
4,10,1,Z,1,404,1
4,10,3,/,1,539.578,1
4,10,3,/,1,252.299,1
4,10,3,/,1,274.431,1
4,10,4,/,1,375.676,2
4,10,4,/,1,402.014,2
4,10,2,Z,1,456.64,2
4,10,2,Z,1,404.272,2
4,10,4,/,1,333.266,2
4,10,2,Z,1,332.326,2
4,10,2,Z,1,356.327,2
4,10,1,Z,1,362.34,1
4,10,4,/,1,343.766,2
4,10,1,Z,1,482.177,1
4,10,3,/,1,329.43,1
4,10,4,/,1,382.001,2
4,10,1,Z,1,508.975,1
4,10,3,/,1,381.329,1
4,10,3,/,1,413.921,1
4,10,2,Z,1,589.364,2
4,10,4,/,1,358.304,2
4,10,2,Z,1,445.915,2
4,10,4,/,1,317.163,2
4,10,4,/,1,393.529,2
4,10,1,Z,1,318.824,1
4,10,2,Z,1,628.299,2
4,10,1,Z,1,373.083,1
4,10,3,/,1,447.921,1
4,10,1,Z,1,393.93,1
4,10,3,/,1,320.908,1
4,10,1,Z,1,298.079,1
4,10,3,/,1,233.153,1
4,10,4,/,1,393.37,2
4,10,4,/,1,319.042,2
4,11,3,/,1,317.551,1
4,11,1,Z,1,643.857,1
4,11,2,Z,1,508.052,2
4,11,2,Z,1,388.483,2
4,11,1,Z,1,321.42,1
4,11,3,/,1,353.511,1
4,11,1,Z,1,324.157,1
4,11,3,/,1,378.732,1
4,11,2,Z,1,519.661,2
4,11,1,Z,1,357.793,1
4,11,4,/,1,328.589,2
4,11,4,/,1,464.91,2
4,11,3,/,1,397.05,1
4,11,1,Z,1,287.128,1
4,11,3,/,1,404.924,1
4,11,4,/,1,370.887,2
4,11,3,/,1,426.476,1
4,11,1,Z,1,339.632,1
4,11,4,/,1,334.659,2
4,11,2,Z,1,384.148,2
4,11,3,/,1,373.033,1
4,11,3,/,1,367.11,1
4,11,1,Z,1,327.206,1
4,11,4,/,1,358.315,2
4,11,3,/,1,419.01,1
4,11,2,Z,1,599.727,2
4,11,4,/,1,459.043,2
4,11,4,/,1,377.656,2
4,11,4,/,1,380.229,2
4,11,2,Z,1,493.532,2
4,11,2,Z,1,415.011,2
4,11,1,Z,1,341.191,1
4,11,3,/,1,396.587,1
4,11,4,/,1,460.303,2
4,11,1,Z,1,332.001,1
4,11,4,/,1,390.987,2
4,12,2,Z,1,493.588,2
4,12,1,Z,1,382.152,1
4,12,2,Z,1,366.24,2
4,12,3,/,1,772.85,1
4,12,1,Z,1,415.373,1
4,12,4,/,1,633.466,2
4,12,4,/,1,472.617,2
4,12,1,Z,1,376.372,1
4,12,4,/,1,374.298,2
4,12,1,Z,1,449.02,1
4,12,3,/,1,324.569,1
4,12,3,/,1,253.407,1
4,12,4,/,1,480.539,2
4,12,4,/,1,335.463,2
4,12,1,Z,1,585.071,1
4,12,4,/,1,355.532,2
4,12,3,/,1,422.881,1
4,12,4,/,1,403.475,2
4,12,2,Z,1,695.916,2
4,12,2,Z,1,426.215,2
4,12,3,/,1,430.803,1
4,12,1,Z,1,418.556,1
4,12,3,/,1,612.456,1
4,12,3,/,1,495.424,1
4,12,4,/,1,412.788,2
4,12,2,Z,1,561.572,2
4,12,4,/,1,441.254,2
4,12,3,/,1,527.949,1
4,12,4,/,1,464.963,2
4,12,2,Z,1,479.884,2
4,12,1,Z,1,379.727,1
4,12,1,Z,1,392.568,1
4,12,2,Z,1,469.806,2
4,12,3,/,1,451.067,1
4,12,2,Z,1,427.723,2
4,12,1,Z,1,402.354,1
